altura,201
I 0 graus,31228.68465050565
I 10 graus,31228.68465050565
I 20 graus,31228.68465050565
I 30 graus,31228.68465050565
I 40 graus,31228.68465050565
I 50 graus,31228.68465050565
I 60 graus,31228.68465050565
I 70 graus,31228.68465050565
I 80 graus,31228.68465050565
I 90 graus,31228.68465050565
I 0 graus,31228.68465050565
I 10 graus,31228.68465050565
I 20 graus,31228.68465050565
I 30 graus,31228.68465050565
I 40 graus,31228.68465050565
I 50 graus,31228.68465050565
I 60 graus,31228.68465050565
I 70 graus,31228.68465050565
I 80 graus,31228.68465050565
I 90 graus,31228.68465050565
