Cost_5graus,Revisit_time_5graus,Cost_10graus,Revisit_time_10graus,Cost_15graus,Revisit_time_15graus,Cost_20graus,Revisit_time_20graus,Cost_25graus,Revisit_time_25graus,Cost_30graus,Revisit_time_30graus,Cost_150graus,Revisit_time_150graus,Cost_155graus,Revisit_time_155graus,Cost_160graus,Revisit_time_160graus,Cost_165graus,Revisit_time_165graus,Cost_170graus,Revisit_time_170graus,Cost_175graus,Revisit_time_175graus
2884.0236578216645,6.3072e6,2884.0236578216645,6.3072e6,2884.0236578216645,6.3072e6,2884.0236578216645,248712.40000000002,2884.0236578216645,279972.0,2884.0236578216645,370999.28571428574,2884.0236578216645,267810.0,2884.0236578216645,226728.80000000002,2884.0236578216645,124563.6,2884.0236578216645,6.3072e6,2884.0236578216645,6.3072e6,2884.0236578216645,6.3072e6
2223.7802301108254,6.3072e6,2223.7802301108254,6.3072e6,2223.7802301108254,6.3072e6,2223.7802301108254,128393.6170212766,2223.7802301108254,310597.5,2223.7802301108254,308411.76470588235,2223.7802301108254,309198.4210526316,2223.7802301108254,199696.77419354836,2223.7802301108254,132685.77777777778,2223.7802301108254,6.3072e6,2223.7802301108254,6.3072e6,2223.7802301108254,6.3072e6
1721.671977322986,6.3072e6,1721.671977322986,6.3072e6,1721.671977322986,6.3072e6,1721.671977322986,135092.6086956522,1721.671977322986,217310.3448275862,1721.671977322986,223843.21428571426,1721.671977322986,288822.0,1721.671977322986,242181.53846153847,1721.671977322986,133958.66666666666,1721.671977322986,6.3072e6,1721.671977322986,6.3072e6,1721.671977322986,6.3072e6
1340.1523936278718,6.3072e6,1340.1523936278718,6.3072e6,1340.1523936278718,6.3072e6,1340.1523936278718,113193.01886792453,1340.1523936278718,240929.59999999998,1340.1523936278718,298380.0,1340.1523936278718,240220.95238095237,1340.1523936278718,222688.14814814815,1340.1523936278718,97171.61290322582,1340.1523936278718,6.3072e6,1340.1523936278718,6.3072e6,1340.1523936278718,6.3072e6
1050.5746655366725,6.3072e6,1050.5746655366725,6.3072e6,1050.5746655366725,2.20725e6,1050.5746655366725,145053.9534883721,1050.5746655366725,144988.13953488372,1050.5746655366725,224482.96296296295,1050.5746655366725,208816.20689655174,1050.5746655366725,169281.94444444444,1050.5746655366725,116077.40740740742,1050.5746655366725,1.86217e6,1050.5746655366725,6.3072e6,1050.5746655366725,6.3072e6
868.2026415024304,6.3072e6,868.2026415024304,6.3072e6,868.2026415024304,673571.1111111111,868.2026415024304,99738.09523809524,868.2026415024304,201401.93548387097,868.2026415024304,170362.7027027027,868.2026415024304,177188.57142857142,868.2026415024304,122808.51063829787,868.2026415024304,92622.64705882352,868.2026415024304,632536.6666666666,868.2026415024304,6.3072e6,868.2026415024304,6.3072e6
723.150547965127,6.3072e6,723.150547965127,6.3072e6,723.150547965127,377395.625,723.150547965127,93995.8208955224,723.150547965127,144480.0,723.150547965127,196759.375,723.150547965127,196309.0625,723.150547965127,166657.83783783784,723.150547965127,98374.35483870968,723.150547965127,400767.3333333333,723.150547965127,6.3072e6,723.150547965127,6.3072e6
608.0132980574791,6.3072e6,608.0132980574791,6.3072e6,608.0132980574791,165451.62162162163,608.0132980574791,88808.87323943662,608.0132980574791,168158.37837837837,608.0132980574791,181964.1176470588,608.0132980574791,156416.5,608.0132980574791,200881.6129032258,608.0132980574791,93110.60606060606,608.0132980574791,209257.33333333334,608.0132980574791,6.3072e6,608.0132980574791,6.3072e6
516.8546850186021,6.3072e6,516.8546850186021,6.3072e6,516.8546850186021,160916.9230769231,516.8546850186021,92587.57575757576,516.8546850186021,152096.34146341463,516.8546850186021,173741.94444444444,516.8546850186021,160444.32432432432,516.8546850186021,160415.52631578947,516.8546850186021,82768.66666666667,516.8546850186021,195105.0,516.8546850186021,6.3072e6,516.8546850186021,6.3072e6
444.91802387380653,6.3072e6,444.91802387380653,6.3072e6,444.91802387380653,117841.15384615384,444.91802387380653,81850.13157894736,444.91802387380653,134565.77777777778,444.91802387380653,195956.5625,444.91802387380653,173234.1666666667,444.91802387380653,102388.33333333334,444.91802387380653,88619.71830985916,444.91802387380653,118164.52830188678,444.91802387380653,6.3072e6,444.91802387380653,6.3072e6
